# H-H RDF for MACE
# r g(r)
3.0833333333 0.7375923052
3.1166666667 0.7525649450
3.1500000000 0.7667913450
3.1833333333 0.7876741861
3.2166666667 0.8046172210
3.2500000000 0.8279751311
3.2833333333 0.8461482010
3.3166666667 0.8751539985
3.3500000000 0.9004062198
3.3833333333 0.9207153794
3.4166666667 0.9572334614
3.4500000000 0.9755126280
3.4833333333 1.0091615235
3.5166666667 1.0411561002
3.5500000000 1.0664477711
3.5833333333 1.0959072892
3.6166666667 1.1173337316
3.6500000000 1.1434693130
3.6833333333 1.1635093412
3.7166666667 1.1859769646
3.7500000000 1.1955411625
3.7833333333 1.1996738301
3.8166666667 1.2018379555
3.8500000000 1.2012367750
3.8833333333 1.1950747007
3.9166666667 1.1871005718
3.9500000000 1.1713240601
3.9833333333 1.1587906043
4.0166666667 1.1501307409
4.0500000000 1.1337076011
4.0833333333 1.1204175819
4.1166666667 1.1084230814
4.1500000000 1.0954533178
4.1833333333 1.0871077466
4.2166666667 1.0749300148
4.2500000000 1.0731773646
4.2833333333 1.0667084791
4.3166666667 1.0618161249
4.3500000000 1.0565264238
4.3833333333 1.0515363564
4.4166666667 1.0464038659
4.4500000000 1.0487888440
4.4833333333 1.0461636814
4.5166666667 1.0429048045
4.5500000000 1.0364557804
4.5833333333 1.0392812444
4.6166666667 1.0311122060
4.6500000000 1.0256353878
4.6833333333 1.0242377585
4.7166666667 1.0163181661
4.7500000000 1.0156443057
4.7833333333 1.0065067967
4.8166666667 1.0022581321
4.8500000000 0.9984084815
4.8833333333 0.9892721782
4.9166666667 0.9846058466
4.9500000000 0.9825817445
4.9833333333 0.9754810714
5.0166666667 0.9738548815
5.0500000000 0.9663381527
5.0833333333 0.9625646268
5.1166666667 0.9586467629
5.1500000000 0.9524625327
5.1833333333 0.9552495922
5.2166666667 0.9493661917
5.2500000000 0.9476334497
5.2833333333 0.9476756721
5.3166666667 0.9461203078
5.3500000000 0.9493473439
5.3833333333 0.9447820540
5.4166666667 0.9480178356
5.4500000000 0.9489842980
5.4833333333 0.9482727883
5.5166666667 0.9507870161
5.5500000000 0.9536472775
5.5833333333 0.9589456355
5.6166666667 0.9577735704
5.6500000000 0.9634785355
5.6833333333 0.9663981741
5.7166666667 0.9670073760
5.7500000000 0.9715407946
5.7833333333 0.9728813458
5.8166666667 0.9770221720
5.8500000000 0.9798425854
5.8833333333 0.9821525328
5.9166666667 0.9864046850
5.9500000000 0.9908953747
5.9833333333 0.9890638392
