# O-H RDF for MACE
# r g(r)
3.0833333333 1.2705385175
3.1166666667 1.3678783605
3.1500000000 1.4468258450
3.1833333333 1.5184321881
3.2166666667 1.5627086611
3.2500000000 1.5882903434
3.2833333333 1.6025584010
3.3166666667 1.5966270115
3.3500000000 1.5786749533
3.3833333333 1.5455602117
3.4166666667 1.5089706721
3.4500000000 1.4642928698
3.4833333333 1.4137140229
3.5166666667 1.3658543776
3.5500000000 1.3186472424
3.5833333333 1.2750802780
3.6166666667 1.2374189596
3.6500000000 1.2016960648
3.6833333333 1.1685053094
3.7166666667 1.1408803096
3.7500000000 1.1169459492
3.7833333333 1.1015402633
3.8166666667 1.0824602928
3.8500000000 1.0641465651
3.8833333333 1.0535338185
3.9166666667 1.0438829456
3.9500000000 1.0383124027
3.9833333333 1.0304909018
4.0166666667 1.0243530857
4.0500000000 1.0190608953
4.0833333333 1.0135737443
4.1166666667 1.0060019886
4.1500000000 1.0056148501
4.1833333333 0.9961027052
4.2166666667 0.9936392706
4.2500000000 0.9900468660
4.2833333333 0.9807086911
4.3166666667 0.9793637255
4.3500000000 0.9743767942
4.3833333333 0.9743492145
4.4166666667 0.9702417446
4.4500000000 0.9668428165
4.4833333333 0.9663927971
4.5166666667 0.9598553884
4.5500000000 0.9603594237
4.5833333333 0.9564954665
4.6166666667 0.9574169162
4.6500000000 0.9570404339
4.6833333333 0.9588622749
4.7166666667 0.9619351743
4.7500000000 0.9574275642
4.7833333333 0.9598092189
4.8166666667 0.9606748633
4.8500000000 0.9622015899
4.8833333333 0.9643914816
4.9166666667 0.9660145209
4.9500000000 0.9674608883
4.9833333333 0.9768846037
5.0166666667 0.9759482134
5.0500000000 0.9790127369
5.0833333333 0.9820809026
5.1166666667 0.9840546093
5.1500000000 0.9855999676
5.1833333333 0.9879425703
5.2166666667 0.9896416461
5.2500000000 0.9926202763
5.2833333333 0.9942734247
5.3166666667 0.9920490549
5.3500000000 0.9967031588
5.3833333333 0.9945439907
5.4166666667 0.9935747672
5.4500000000 0.9952301062
5.4833333333 0.9936175997
5.5166666667 0.9931149092
5.5500000000 0.9926024922
5.5833333333 0.9951343189
5.6166666667 0.9896694037
5.6500000000 0.9874624250
5.6833333333 0.9882270997
5.7166666667 0.9820249122
5.7500000000 0.9810913242
5.7833333333 0.9793032048
5.8166666667 0.9761013187
5.8500000000 0.9772503307
5.8833333333 0.9725339924
5.9166666667 0.9708722327
5.9500000000 0.9713620550
5.9833333333 0.9681789227
6.0166666667 0.9667286256
6.0500000000 0.9690893397
6.0833333333 0.9681789810
6.1166666667 0.9674886387
6.1500000000 0.9687944858
6.1833333333 0.9697838680
6.2166666667 0.9698554737
6.2500000000 0.9712212054
6.2833333333 0.9717280815
6.3166666667 0.9741827812
6.3500000000 0.9748876603
6.3833333333 0.9751319442
6.4166666667 0.9827261260
6.4500000000 0.9814028879
6.4833333333 0.9847270236
6.5166666667 0.9884931603
6.5500000000 0.9915795826
6.5833333333 0.9909649999
6.6166666667 0.9953936664
6.6500000000 0.9962134038
6.6833333333 1.0014469719
6.7166666667 1.0045882563
6.7500000000 1.0054099544
6.7833333333 1.0085957177
6.8166666667 1.0090015238
6.8500000000 1.0113669257
6.8833333333 1.0166336899
6.9166666667 1.0178165606
6.9500000000 1.0174237900
6.9833333333 1.0223018602
7.0166666667 1.0253934426
7.0500000000 1.0274276150
7.0833333333 1.0269544408
7.1166666667 1.0298893382
7.1500000000 1.0286237099
7.1833333333 1.0285439684
7.2166666667 1.0313620255
7.2500000000 1.0308073244
7.2833333333 1.0328084347
7.3166666667 1.0305004817
7.3500000000 1.0328038824
7.3833333333 1.0310045394
7.4166666667 1.0318956745
7.4500000000 1.0302666026
7.4833333333 1.0301606046
7.5166666667 1.0294382950
7.5500000000 1.0244181363
7.5833333333 1.0235783552
7.6166666667 1.0234561007
7.6500000000 1.0234822106
7.6833333333 1.0205522372
7.7166666667 1.0177601694
7.7500000000 1.0170483364
7.7833333333 1.0149061746
7.8166666667 1.0140480239
7.8500000000 1.0090984799
7.8833333333 1.0081075067
7.9166666667 1.0062454485
7.9500000000 1.0021365471
7.9833333333 1.0009889233
8.0166666667 0.9979291221
8.0500000000 0.9961139781
8.0833333333 0.9956649574
8.1166666667 0.9948343116
8.1500000000 0.9927170758
8.1833333333 0.9905031519
8.2166666667 0.9883700445
8.2500000000 0.9880082481
8.2833333333 0.9868980707
8.3166666667 0.9870329261
8.3500000000 0.9847895814
8.3833333333 0.9864189962
8.4166666667 0.9834406822
8.4500000000 0.9822130181
8.4833333333 0.9834108118
8.5166666667 0.9845993031
8.5500000000 0.9803119314
8.5833333333 0.9830205139
8.6166666667 0.9834637328
8.6500000000 0.9827892863
8.6833333333 0.9844459099
8.7166666667 0.9836072553
8.7500000000 0.9836126779
8.7833333333 0.9839321250
8.8166666667 0.9864276895
8.8500000000 0.9867679788
8.8833333333 0.9861631794
8.9166666667 0.9889065279
8.9500000000 0.9902511644
8.9833333333 0.9896797439
9.0166666667 0.9902433335
9.0500000000 0.9907137565
9.0833333333 0.9932276368
9.1166666667 0.9947617603
9.1500000000 0.9956261349
9.1833333333 0.9956537083
9.2166666667 0.9963599269
9.2500000000 0.9978363284
9.2833333333 0.9993291266
9.3166666667 1.0007307684
9.3500000000 0.9994968594
9.3833333333 1.0004261659
9.4166666667 0.9992696394
9.4500000000 1.0034450615
9.4833333333 1.0028845637
9.5166666667 1.0020487685
9.5500000000 1.0053298277
9.5833333333 1.0026106920
9.6166666667 1.0040683041
9.6500000000 1.0029429113
9.6833333333 1.0034519468
9.7166666667 1.0048653341
9.7500000000 1.0066109178
9.7833333333 1.0045898222
9.8166666667 1.0059235362
9.8500000000 1.0062444770
9.8833333333 1.0053211607
9.9166666667 1.0049574720
9.9500000000 1.0045647882
9.9833333333 1.0040616697
