# O-O RDF for MACE
# r g(r)
3.6750000000 0.8724168999
3.7250000000 0.8996993591
3.7750000000 0.9153339058
3.8250000000 0.9383871819
3.8750000000 0.9620924375
3.9250000000 0.9781355751
3.9750000000 1.0054099227
4.0250000000 1.0286151194
4.0750000000 1.0444371344
4.1250000000 1.0692355895
4.1750000000 1.0907646107
4.2250000000 1.1038469114
4.2750000000 1.1244516695
4.3250000000 1.1328532926
4.3750000000 1.1393501001
4.4250000000 1.1419851275
4.4750000000 1.1509974880
4.5250000000 1.1466495289
4.5750000000 1.1454808580
4.6250000000 1.1400788660
4.6750000000 1.1292535747
4.7250000000 1.1207698973
4.7750000000 1.0982567222
4.8250000000 1.0878528019
4.8750000000 1.0684339211
4.9250000000 1.0421387244
4.9750000000 1.0331112247
5.0250000000 1.0125729064
5.0750000000 0.9836638763
5.1250000000 0.9669315992
5.1750000000 0.9447604181
5.2250000000 0.9261704727
5.2750000000 0.9130311946
5.3250000000 0.9001012430
5.3750000000 0.8821405171
5.4250000000 0.8695967892
5.4750000000 0.8682323105
5.5250000000 0.8613180739
5.5750000000 0.8563615308
5.6250000000 0.8640796068
5.6750000000 0.8625924970
5.7250000000 0.8682094787
5.7750000000 0.8806365639
5.8250000000 0.8877340171
5.8750000000 0.8986614792
5.9250000000 0.9133930229
5.9750000000 0.9211579195
6.0250000000 0.9348365573
6.0750000000 0.9500012072
6.1250000000 0.9619300104
6.1750000000 0.9770320768
6.2250000000 0.9881632776
6.2750000000 1.0022172576
6.3250000000 1.0145522044
6.3750000000 1.0267138006
6.4250000000 1.0363127334
6.4750000000 1.0467275894
6.5250000000 1.0562685404
6.5750000000 1.0624016574
6.6250000000 1.0707571309
6.6750000000 1.0693227356
6.7250000000 1.0747819666
6.7750000000 1.0747203250
6.8250000000 1.0814602074
6.8750000000 1.0788203484
6.9250000000 1.0787136134
6.9750000000 1.0760157489
7.0250000000 1.0683397762
7.0750000000 1.0628242913
7.1250000000 1.0578029324
7.1750000000 1.0492668074
7.2250000000 1.0430719467
7.2750000000 1.0397172857
7.3250000000 1.0265635375
7.3750000000 1.0264752910
7.4250000000 1.0122129594
7.4750000000 1.0146277237
7.5250000000 1.0052913913
7.5750000000 0.9962099637
7.6250000000 0.9912202572
7.6750000000 0.9851629259
7.7250000000 0.9885723787
7.7750000000 0.9811930445
7.8250000000 0.9800781769
7.8750000000 0.9785782019
7.9250000000 0.9772044334
7.9750000000 0.9753917199
8.0250000000 0.9769811931
8.0750000000 0.9753981807
8.1250000000 0.9759665086
8.1750000000 0.9791247310
8.2250000000 0.9781236659
8.2750000000 0.9806748157
8.3250000000 0.9816501490
8.3750000000 0.9848245308
8.4250000000 0.9875100066
8.4750000000 0.9880645136
8.5250000000 0.9915905181
8.5750000000 0.9949267044
8.6250000000 0.9951069478
8.6750000000 0.9984103532
8.7250000000 0.9999907579
8.7750000000 1.0002384882
8.8250000000 1.0025311461
8.8750000000 1.0022977788
8.9250000000 1.0001993031
8.9750000000 1.0010455529
9.0250000000 1.0047140823
9.0750000000 1.0029423743
9.1250000000 1.0039926601
9.1750000000 1.0040067124
9.2250000000 1.0023882090
9.2750000000 1.0028017501
9.3250000000 1.0049483473
9.3750000000 1.0025348615
9.4250000000 1.0032290919
9.4750000000 1.0041939863
9.5250000000 1.0020743132
9.5750000000 1.0021640904
9.6250000000 1.0024861600
9.6750000000 1.0001906430
9.7250000000 1.0010245669
9.7750000000 1.0011031898
9.8250000000 0.9980004145
9.8750000000 1.0016972309
9.9250000000 1.0009584147
9.9750000000 0.9995422154
